БрянскСтройресурс,ЗАО,9432455179,8,2015-12-20
Стройкомплект,ЗАО,7803888520,7,2017-9-13
Железногорская руда,ООО,8430391035,7,2016-12-23
Белая гора,ООО,4318170454,8,2019-5-27
Тульский обрабатывающий завод ,ООО,7687851800,7,2015-6-16
ГорТехРазработка,ПАО,6119144874,9,2021-12-27
Сапфир,ОАО,1122170258,3,2022-4-10
ХимБытСервис,ПАО,8355114917,5,2022-3-13
ВоронежРудоКомбинат,ОАО,3532367439,8,2023-11-11
Смоленский добывающий комбинат,ОАО,2362431140,3,2018-11-23
МосКарьер,ПАО,4159215346,2,2012-7-7
КурскРесурс,ЗАО,9032455179,4,2021-7-23
Нижегородская разработка,ОАО,3776671267,9,2016-5-23
Речная долина,ОАО,7447864518,8,2015-6-25
Карелия добыча,ПАО,9037040523,6,2017-3-9
Московский ХимЗавод,ПАО,6221520857,4,2015-5-7
Горная компания,ЗАО,2262431140,3,2020-12-22
Минерал Ресурс,ООО,4155215346,7,2015-5-22
Арсенал,ЗАО,3961234561,5,2010-11-25
КамчаткаСтройМинералы,ЗАО,9600275878,7,2016-12-20
